binaryCase1...0,0005...0,0012...0,0004...0,0003...0,0003...0,0003...0,0003...0,0003...0,0003...0,0002
binaryCase2...0,0002...0,0001...0,0001...0,0001...0,0001...0,0001...0,0002...0,0002...0,0002...0,0002
binaryCase3...0,0002...0,0002...0,0001...0,0001...0,0001...0,0001...0,0002...0,0001...0,0002...0,0001
binaryCase4...0,0002...0,0001...0,0001...0,0002...0,0002...0,0001...0,0002...0,0002...0,0002...0,0002
binaryCase5...0,0003...0,0001...0,0001...0,0001...0,0001...0,0002...0,0001...0,0001...0,0002...0,0002
binaryCase6...0,0003...0,0003...0,0003...0,0003...0,0003...0,0002...0,0001...0,0002...0,0001...0,0005
linearCase1...0,0011...0,001...0,0006...0,0005...0,0004...0,0011...0,0004...0,0004...0,0003...0,0004
linearCase2...0,0006...0,0005...0,0006...0,0004...0,0004...0,0004...0,0004...0,0004...0,0004...0,0004
linearCase3...0,0037...0,0036...0,0036...0,0034...0,0035...0,0035...0,0034...0,0035...0,0034...0,0034
linearCase4...0,0047...0,0049...0,0046...0,0037...0,0036...0,0034...0,0034...0,0034...0,0034...0,0035
linearCase5...0,0273...0,0273...0,0275...0,0273...0,0273...0,0273...0,0276...0,0284...0,0273...0,0273
linearCase6...0,0273...0,0273...0,0281...0,0272...0,0273...0,0273...0,0288...0,0273...0,0273...0,0286
jumpCase1...0,0004...0,0004...0,0001...0,0002...0,0002...0,0002...0,0001...0,0002...0,0002...0,0001
jumpCase2...0,0002...0,0002...0,0002...0,0001...0,0002...0,0001...0,0001...0,0001...0,0001...0,0001
jumpCase3...0,0006...0,0009...0,0005...0,0008...0,0009...0,0008...0,0002...0,0002...0,0007...0,0008
jumpCase4...0,0005...0,0004...0,0003...0,0004...0,0003...0,0004...0,0007...0,0003...0,0003...0,0003
jumpCase5...0,0012...0,001...0,0014...0,001...0,0009...0,0016...0,0009...0,0009...0,0014...0,001
jumpCase6...0,0011...0,0009...0,0009...0,0014...0,0012...0,0011...0,0014...0,001...0,001...0,001
